,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
367,Oconto,WI,0.68,66.50,29.50,19924,13255,5886, 0.70 ,69.90,28.90,23215,16226,6715,45.02715345,-88.26807503,2270,18,0.69,37465,19145,18320,1.7,95.3,0.4,0.8,0.4,0,29585,55762,28437,9.1,29.5,14.2,20.1,14.2,22,7.3,0.4,4.5,8823.47,4383.76,4439.70
368,Oneida,WI,0.71,56.00,38.90,20837,11677,8103, 0.73 ,56.60,41.80,24159,13671,10105,45.70677897,-89.51944105,1373,13,0.50,35352,17790,17562,1.4,95.1,0.7,1.1,0.5,0,29158,52945,30550,9,31.7,19,24.3,10.9,14,7,0.2,3.9,9182.26,4562.02,4620.24
369,Outagamie,WI,3.23,54.20,40.10,95162,51579,38117, 3.28 ,54.00,44.10,108022,58385,47667,44.41578887,-88.46565023,9864,81,3.09,183288,91418,91870,4.2,88.1,1.2,1.6,3.4,0,135990,61523,30858,8.6,34,14.6,24,9,18.4,4.1,0.2,3.1,41056.59,20398.15,20658.45
370,Ozaukee,WI,1.81,57.10,37.80,53368,30458,20167, 1.86 ,55.20,43.10,61486,33912,26517,43.38352225,-87.94625009,2529,25,0.95,87817,43131,44686,2.8,92.1,1.4,0.3,2,0,67154,80526,45820,5.9,47.5,14.1,21.7,6.3,10.4,5.2,0.1,3,23369.37,11610.60,11758.76
371,Pepin,WI,0.13,59.50,35.90,3746,2228,1345, 0.13 ,62.40,35.90,4144,2584,1489,44.58307413,-91.99949611,172,0,0.00,7282,3701,3581,1.7,96.6,0.4,0.2,0.3,0,5644,51470,27901,13.1,32.8,14.2,21,15.1,16.9,11.7,0.3,3.4,1575.04,782.53,792.51
372,Pierce,WI,0.72,53.40,39.70,21089,11260,8380, 0.71 ,55.00,41.90,23458,12903,9839,44.71850291,-92.4224416,819,7,0.27,41226,20501,20725,1.9,94.6,0.6,0.2,1.2,0,32109,66772,31109,10.7,32.3,17.1,20.8,11,18.8,5.9,0.4,2.7,8915.83,4429.65,4486.18
373,Polk,WI,0.77,61.10,33.40,22691,13864,7568, 0.80 ,63.00,35.50,26371,16611,9370,45.46130348,-92.44182875,664,3,0.11,43328,21809,21519,1.9,95.3,0.3,1,0.4,0,33749,53551,27993,9.9,29.4,16.1,20.1,12.4,22,7.7,0.5,4.8,10022.99,4979.72,5043.27
374,Portage,WI,1.29,45.40,48.60,38123,17310,18524, 1.23 ,47.50,50.30,40603,19299,20428,44.47558711,-89.50152965,3006,21,0.80,70371,35333,35038,3,91.7,0.7,0.4,2.6,0,55415,54620,28363,13.1,34.6,16.5,23.9,8.7,16.3,4.7,0.2,4.6,15432.23,7667.20,7765.04
375,Price,WI,0.26,60.30,35.30,7560,4562,2671, 0.26 ,63.10,35.50,8546,5394,3032,45.68051754,-90.3609888,411,3,0.11,13566,6898,6668,1.6,94.6,0.7,0.8,0.6,0.8,11059,45680,27161,11.9,26.7,18,16.6,12.9,25.7,9.6,0.4,2.9,3248.13,1613.77,1634.36
376,Racine,WI,3.18,49.80,45.40,93678,46620,42506, 3.23 ,51.20,47.10,106451,54479,50159,42.74753117,-88.05941254,8178,114,4.35,195101,96480,98621,12.7,72.7,10.7,0.3,1.2,0,144159,58334,29582,11.9,32.4,17.1,23.2,8.5,18.7,4.1,0.1,5.8,40459.49,20101.49,20358.00
