,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
14,Yavapai,AZ,4.50,63.40,32.00,92780,58862,29705, 4.25 ,63.90,34.60,143221,91527,49602,34.59933926,-112.5538588,3029,91,3.47,220972,108100,112872,14.3,80.9,0.5,1.5,0.9,0,176240,48259,27504,14.7,31.9,22.7,24.5,11.1,9.8,9.3,0.1,7.3,78184.53,38887.38,39297.15
15,Yuma,AZ,1.98,50.50,45.00,40759,20586,18336, 2.03 ,52.30,46.10,68427,35766,31562,32.76895712,-113.9066674,13994,358,13.66,204281,104914,99367,62.9,31.8,1.8,0.9,1.1,0.1,121564,43253,20600,19.7,24.9,23,22.8,17.4,12,4.6,0.2,10.9,37354.39,18579.30,18775.08
16,Appling,GA,0.17,78.40,20.50,7003,5492,1434, 0.17 ,78.20,21.30,8341,6526,1779,31.74847232,-82.28909114,1179,38,1.45,18471,9090,9381,9.7,69.6,17.9,0.6,0.8,0,13387,37089,19936,24.7,26,13.9,18.7,22.8,18.6,4.9,0.2,7.7,1364.48,90.90,1273.57
17,Atkinson,GA,0.06,71.90,26.70,2604,1873,696, 0.06 ,72.90,26.10,3155,2300,825,31.29633502,-82.87545866,486,6,0.23,8313,4112,4201,24.6,56.6,17.8,0.7,0,0,5245,33063,19904,27.4,21.6,9.7,22.2,23,23.5,5.6,0,8.4,516.12,34.38,481.73
18,Bacon,GA,0.10,83.70,15.10,4010,3356,607, 0.09 ,86.10,13.40,4668,4018,625,31.55456473,-82.45936528,640,16,0.61,11279,5599,5680,8.5,73.6,14.6,0,0.9,0.2,7903,38824,18856,23.2,30.7,12,22.4,18.6,16.2,6.2,0,3.1,763.62,50.87,712.75
19,Baker,GA,0.04,53.80,45.10,1440,775,650, 0.03 ,57.70,41.90,1555,897,652,31.32669878,-84.44218806,92,6,0.23,3251,1547,1704,5.4,52.1,41.3,0.2,0.6,0.5,2512,43867,22270,19.5,28.5,11.4,27.8,19.9,12.4,6.8,0,2.5,254.38,16.95,237.43
20,Baldwin,GA,0.40,47.80,49.50,16075,7691,7965, 0.37 ,48.80,50.10,18251,8903,9140,33.06882326,-83.24701748,2337,65,2.48,45527,22893,22634,2.2,52.9,41.4,0.3,1.5,0.2,36104,37008,20114,27.8,30.3,26.9,20.2,9.8,12.8,3.7,0,9,2985.62,198.91,2786.71
21,Banks,GA,0.17,88.30,9.80,6946,6130,684, 0.18 ,88.60,10.60,8801,7795,932,34.35607081,-83.49644388,574,8,0.31,18363,9245,9118,6.4,88.4,2.5,0.2,1.2,0,13533,42182,19451,14.3,24.8,17,22.4,16.4,19.5,7,0.9,6.6,1439.73,95.92,1343.81
22,Barrow,GA,0.72,73.20,22.80,28828,21105,6580, 0.76 ,70.50,27.50,38017,26804,10453,33.99148694,-83.71436292,2672,51,1.95,75099,37033,38066,10,73,11.1,0.1,3.6,0,51848,56119,22978,13.2,28,13.8,29.1,12.5,16.6,4.5,0.1,6.8,6219.08,414.33,5804.75
23,Bartow,GA,0.97,76.10,20.90,39263,29879,8204, 1.01 ,74.70,24.00,50465,37673,12091,34.23732119,-84.83887523,3714,96,3.66,102623,50888,51735,8.2,78.2,10.5,0.2,0.9,0,73506,52393,24931,14.2,29.9,16.6,22.8,12.1,18.6,5.4,0.2,6,8255.41,549.99,7705.41
24,Ben Hill,GA,0.15,63.00,35.40,5923,3734,2098, 0.13 ,62.70,36.50,6560,4110,2392,31.76095874,-83.22145359,887,34,1.30,17272,8259,9013,6,56.5,36.2,0,0.2,0,12517,32344,16635,30.4,24.3,18.1,18.7,11.3,27.6,2.8,0.1,5.2,1073.13,71.49,1001.64
25,Berrien,GA,0.16,82.40,15.90,6563,5408,1041, 0.16 ,82.90,16.40,7743,6419,1269,31.27590016,-83.2252992,503,14,0.53,19014,9297,9717,4.9,82.3,10.8,0.2,1,0,14081,38297,18064,23.7,22.8,19.7,20.6,15.9,21.1,4.8,0.3,9.4,1266.65,84.39,1182.27
26,Bibb,GA,1.45,38.70,58.90,58327,22589,34383, 1.42 ,37.50,61.40,70802,26585,43468,32.80904227,-83.70489165,6707,200,7.63,153923,72312,81611,3.2,39.3,54,0.2,1.9,0,113107,38183,23426,26.7,34.8,21.1,26.7,6.4,11,4.1,0.1,10.4,11582.27,771.64,10810.64
27,Bleckley,GA,0.12,75.30,22.20,4934,3717,1094, 0.11 ,75.80,23.00,5706,4328,1311,32.43829035,-83.33035166,515,27,1.03,12779,5909,6870,2.7,68.8,27.7,0.1,0.2,0,9903,40688,20667,23,30.1,20.3,22.9,12.9,13.8,5.1,0,7.7,933.43,62.19,871.24
28,Brantley,GA,0.16,88.50,9.80,6285,5561,619, 0.16 ,90.30,9.00,7746,6991,699,31.19576557,-81.97743999,473,13,0.50,18411,9070,9341,2.1,92.6,3.1,0.1,0.7,0.1,13772,36812,18220,21.8,24.4,18,20.8,20.7,16.1,6.8,0.2,7.8,1267.14,84.42,1182.72
29,Brooks,GA,0.16,58.70,39.90,6268,3679,2504, 0.14 ,60.00,39.30,7100,4260,2790,30.83922642,-83.58303423,553,26,0.99,15629,7531,8098,5.6,56.8,33.6,0,0.8,0,11757,34890,20964,23.6,27.1,16.6,23.5,16.8,16.1,6.4,0.1,13.6,1161.47,77.38,1084.09
30,Bryan,GA,0.37,69.80,26.60,15063,10513,4010, 0.43 ,66.70,31.60,21340,14244,6739,32.00979311,-81.44002948,1313,16,0.61,34883,17313,17570,6.6,74.3,14.6,0.5,1.5,0,24041,68589,29880,14.1,37.6,17,23.6,11.2,10.6,6.3,0.1,7.9,3490.94,232.57,3258.37
31,Bulloch,GA,0.60,59.90,36.50,24151,14476,8812, 0.60 ,61.10,37.40,30084,18386,11243,32.39577406,-81.74811421,3128,33,1.26,73742,36288,37454,3.7,64,28.5,0.2,1.5,0,57432,39305,20526,30.4,32.9,21.8,21.8,9.5,14.1,7.7,0.3,9.3,4921.35,327.87,4593.47
32,Burke,GA,0.23,48.00,50.60,9350,4491,4730, 0.21 ,50.50,48.80,10684,5400,5209,33.05917989,-81.99928721,901,12,0.46,22645,10752,11893,3.1,47,49.1,0,0.3,0,16455,38707,19720,29.2,28,18.1,19.8,14.8,19.4,5.6,0.2,5.8,1747.76,116.44,1631.32
33,Butts,GA,0.24,70.90,27.10,9477,6717,2566, 0.24 ,71.30,27.80,11789,8405,3272,33.2830945,-83.9543504,749,44,1.68,23556,12464,11092,3.1,66.6,28.2,0.1,0.6,0,18209,39655,21236,23.5,27.3,16.3,25.3,14.4,16.7,4.5,1.2,7.6,1928.52,128.48,1800.04
34,Calhoun,GA,0.05,41.00,58.20,2023,829,1178, 0.04 ,42.10,57.40,2194,923,1260,31.53169785,-84.62725131,277,10,0.38,6503,3915,2588,4.8,32.5,60.5,0,0.5,0,5141,29617,13865,32.2,30.3,21.4,17.5,15,15.8,3.9,0.7,14.9,358.91,23.91,335.00
35,Camden,GA,0.47,65.30,31.40,18825,12287,5914, 0.47 ,64.40,33.60,23688,15251,7967,30.92951916,-81.66601818,1459,18,0.69,52252,26821,25431,6.4,70.1,18.5,0.6,1.4,0.1,38225,53687,26854,12.7,33,19.6,23.8,12.1,11.5,5.1,0.2,8.2,3875.04,258.16,3616.88
36,Candler,GA,0.09,70.80,27.20,3757,2661,1023, 0.09 ,70.70,28.60,4432,3134,1269,32.40209349,-82.07702563,550,25,0.95,10894,5353,5541,11.5,61.2,23.5,0.7,0.8,0,7742,33125,18233,31.5,25.8,16.8,26.7,14.6,16.1,8.9,0.2,6.3,725.02,48.30,676.71
37,Carroll,GA,1.09,68.50,28.40,43744,29983,12422, 1.09 ,68.80,29.80,54474,37476,16238,33.58138199,-85.07976677,3428,77,2.94,114898,56032,58866,6.7,71.1,18.7,0.3,0.8,0.1,84217,46844,23139,18.6,27,18.7,22.6,11.6,20,5.6,0.1,9.4,8911.23,593.69,8317.54
38,Catoosa,GA,0.66,78.70,18.00,26510,20860,4769, 0.65 ,77.00,21.20,32692,25167,6932,34.89872298,-85.13757014,1493,23,0.88,65870,31953,33917,2.9,91.4,2.3,0.2,1.3,0,49624,54537,25643,10.8,32.2,13.5,28.5,10.4,15.4,5.2,0.1,5.4,5347.98,356.29,4991.69
39,Charlton,GA,0.10,73.60,25.00,4008,2950,1004, 0.09 ,74.90,24.20,4566,3419,1103,30.78371028,-82.13951596,649,10,0.38,12963,7393,5570,8.4,62,25.3,1.5,0.8,0,9378,43257,19102,23.1,25,20.3,16.9,17.5,20.3,5.2,0.2,10.4,746.94,49.76,697.17
40,Chatham,GA,2.63,41.20,55.70,106013,43649,58998, 2.68 ,39.90,58.70,133589,53288,78369,32.00043026,-81.12489526,9547,191,7.29,285506,137781,147725,6.3,49.1,39.4,0.2,2.5,0.1,212500,52215,28765,17.3,36.2,21.1,22.6,8.1,12,5.3,0.2,8.7,21853.40,1455.92,20397.47
41,Chattahoochee,GA,0.03,53.90,42.80,1384,746,593, 0.03 ,55.30,41.90,1590,880,667,32.34341231,-84.78809239,1804,1,0.04,11096,7455,3641,15.3,59.1,17.9,0.8,2.5,0.2,8372,46096,22774,15,31.9,18,21.6,14.3,14.1,4.9,0.2,15.2,260.10,17.33,242.77
42,Chattooga,GA,0.20,78.30,19.50,8246,6457,1612, 0.20 ,80.20,18.40,10050,8064,1854,34.47197698,-85.34535662,976,29,1.11,24880,12730,12150,4.7,83.1,10.2,0.1,0.4,0,18729,35718,17716,22.5,23.1,15.2,18.9,12.3,30.5,6.2,0.4,9.5,1644.05,109.53,1534.52
43,Cherokee,GA,2.75,72.70,22.70,110825,80611,25203, 2.90 ,68.80,29.50,144830,99587,42794,34.24393976,-84.47431861,7364,102,3.89,235896,116132,119764,10,79.9,6.2,0.1,1.9,0,164025,75477,33466,9.4,40.7,15.1,27.1,8.8,8.4,5.3,0,4.9,23692.28,1578.43,22113.84
44,Clarke,GA,1.10,28.70,66.70,44221,12691,29514, 1.03 ,28.10,70.20,51218,14412,35969,33.95436462,-83.37124007,5865,50,1.91,123554,58788,64766,10.6,55.6,27.3,0.1,4.2,0,93727,34557,21203,34.1,40.7,21.3,19.9,5.7,12.4,4.5,0.3,7.6,8378.59,558.20,7820.39
45,Clay,GA,0.03,44.50,54.80,1271,566,697, 0.03 ,44.40,55.10,1434,637,790,31.62221166,-84.97713865,124,3,0.11,3024,1495,1529,4.7,30.3,64.3,0,0,0,2312,23315,14559,41.4,18.4,18.7,20.2,26.6,16.1,6.2,0,20.3,234.58,15.63,218.95
46,Clayton,GA,2.21,13.20,85.10,89236,11740,75908, 2.25 ,14.10,85.00,112344,15813,95476,33.54187245,-84.35594188,8467,179,6.83,274150,129364,144786,13.2,11.2,67.7,0.2,5.3,0,176914,44106,19498,21.9,23.2,21.3,26.9,9.4,19.2,5.2,0.1,10.3,18378.00,1224.38,17153.61
47,Clinch,GA,0.06,70.60,28.00,2443,1724,685, 0.06 ,73.50,26.10,2864,2105,747,30.91395822,-82.70432472,461,13,0.50,6788,3411,3377,4.9,65.7,27.4,0.3,0.6,0,4848,21838,17145,39.5,27,18,17.4,14.9,22.7,2.6,0.1,9.1,468.51,31.21,437.30
48,Cobb,GA,8.10,46.70,48.80,326424,152602,159416, 7.89 ,42.00,56.30,393744,165459,221844,33.94243204,-84.5761255,22375,459,17.52,739072,357252,381820,12.8,53.1,26.3,0.1,5.1,0,497695,72004,36587,10.9,45.7,14.8,23.9,7.3,8.3,6.4,0.1,6,64411.32,4291.23,60120.09
49,Coffee,GA,0.34,68.90,29.40,13896,9575,4090, 0.30 ,69.50,29.70,15214,10578,4511,31.54892966,-82.8549206,2305,64,2.44,43048,22105,20943,11.3,58.6,27.9,0.1,0.7,0,30674,36572,18945,23.9,33.1,16.3,20.4,9.8,20.4,6.1,0.1,5.7,2488.81,165.81,2323.00
50,Colquitt,GA,0.34,72.80,25.50,13592,9892,3460, 0.32 ,73.20,26.00,16083,11777,4187,31.18810588,-83.7677946,2142,40,1.53,45890,22806,23084,18.9,56.5,22.5,0.3,0.8,0,29824,34503,18121,25.4,22.4,17.5,20.6,21.7,17.7,5.3,0.2,7.2,2630.97,175.28,2455.69
51,Columbia,GA,1.59,67.10,29.40,64190,43060,18863, 1.61 ,62.10,36.30,80579,50013,29236,33.54534185,-82.263524,4500,66,2.52,143723,70172,73551,6.2,70.1,16.3,0.2,4,0,102391,74162,31720,8.6,42.9,17.2,22.6,8.2,9.1,4.9,0.1,5.8,13181.66,878.19,12303.47
52,Cook,GA,0.15,69.10,29.00,6038,4175,1752, 0.14 ,69.70,29.30,7035,4900,2059,31.16068491,-83.42947229,614,16,0.61,17190,8275,8915,5.8,64.9,27.2,0.3,0.6,0,12384,35539,17587,24.2,24.8,16.8,24.1,14.2,20.1,6.5,0,5.8,1150.83,76.67,1074.16
53,Coweta,GA,1.52,69.30,27.00,61315,42513,16572, 1.54 ,67.10,31.50,76799,51501,24210,33.35334302,-84.76129976,3018,63,2.40,138015,67326,70689,6.8,71.5,17.4,0.1,1.8,0,98257,67570,31548,11.6,34.7,15.8,24.6,10.1,14.8,5,0.2,5.4,12563.30,837.00,11726.31
54,Crawford,GA,0.13,70.40,27.50,5157,3632,1419, 0.12 ,72.60,26.50,6102,4428,1615,32.71391813,-83.98061238,196,6,0.23,12385,6303,6082,0.7,73.5,23.3,0.1,1.1,0,9611,41032,22212,18.1,25.9,19.6,23.3,16.1,15.1,4,0.5,12.6,998.21,66.50,931.70
55,Crisp,GA,0.19,60.50,37.80,7500,4539,2835, 0.16 ,61.90,37.10,8052,4987,2986,31.92289565,-83.76811843,664,23,0.88,23005,10813,12192,3.2,50.6,43.2,0,1.2,0.2,16976,33194,21225,31.2,28.7,20,25.1,11.6,14.6,9,0,14.8,1317.20,87.75,1229.45
56,Dade,GA,0.15,80.90,15.50,6238,5047,965, 0.15 ,81.60,17.00,7434,6066,1261,34.8549167,-85.50490424,376,6,0.23,16282,7956,8326,2.2,93.8,0.5,0.7,1.1,0.7,13024,43163,23184,17.5,26.1,21.5,21.6,14.5,16.3,8.6,0.3,4.8,1216.10,81.02,1135.08
57,Dawson,GA,0.29,84.60,12.40,11680,9880,1444, 0.32 ,83.30,15.50,16081,13398,2486,34.44244079,-84.16964071,927,11,0.42,23397,11529,11868,4.2,92.8,1.2,0.1,0.3,0,18150,62284,31954,11.8,37.1,12.6,25,12.3,12.9,6.7,0,6.1,2630.64,175.26,2455.38
58,DeKalb,GA,7.34,16.10,80.80,295871,47531,239131, 7.42 ,15.70,83.10,370675,58361,308112,33.76944049,-84.22396017,21678,403,15.38,736066,348949,387117,8.7,29.1,53.3,0.2,6,0,500428,55876,32110,17.6,43.6,16.2,23.9,5.6,10.7,5.1,0.2,8.5,60637.54,4039.81,56597.73
59,Decatur,GA,0.25,58.70,40.10,10238,6009,4104, 0.23 ,58.10,41.10,11627,6758,4780,30.87967778,-84.57619536,1315,35,1.34,27023,13037,13986,5.8,50.9,42.1,0.1,0.4,0,19762,36934,19650,24.1,27.6,17,24.6,14.5,16.3,6.9,0.2,6.5,1902.02,126.72,1775.31
60,Dodge,GA,0.17,71.80,26.20,6995,5021,1836, 0.16 ,72.40,26.90,8070,5843,2171,32.17265114,-83.16948926,642,19,0.73,21063,11024,10039,3.4,65.3,27.8,0,0.6,0,16512,35290,18563,22.2,33.6,15.7,22.4,10.9,17.4,7.7,0,9,1320.15,87.95,1232.19
61,Dooly,GA,0.10,50.60,48.50,3836,1941,1860, 0.08 ,52.60,46.60,4105,2159,1911,32.15630737,-83.79746561,379,18,0.69,14053,7631,6422,6.9,42.6,49.5,0,0.1,0,11050,33389,16867,23.2,22.2,20.2,18.6,11.2,27.9,10.5,0,10.5,671.52,44.74,626.79
62,Dougherty,GA,0.84,30.10,68.50,33925,10227,23224, 0.71 ,29.60,69.60,35308,10449,24579,31.53328528,-84.21722377,3318,191,7.29,91522,42377,49145,2.6,26.2,68.4,0.1,0.8,0,67545,34541,20292,30.5,30.3,22.3,22.9,7.9,16.6,4,0.1,15.8,5775.92,384.81,5391.12
63,Douglas,GA,1.42,43.20,54.00,57365,24803,30971, 1.38 ,36.80,62.00,68806,25323,42653,33.70291126,-84.77026156,4204,73,2.79,140152,66926,73226,9.2,43.4,44,0.1,1.6,0,97768,59333,25449,14.2,34.3,15.6,26.2,9.2,14.7,5.7,0,7.9,11255.75,749.88,10505.87
64,Early,GA,0.12,53.40,45.30,4782,2552,2165, 0.10 ,52.50,47.00,5187,2722,2437,31.32155345,-84.90255207,558,35,1.34,10405,4817,5588,2.2,46.1,50.5,0.1,0.8,0,7694,29493,17972,27.5,29.9,12.4,19.5,19.7,18.6,6.3,0,8.7,848.52,56.53,791.99
65,Echols,GA,0.03,85.60,13.30,1175,1006,156, 0.03 ,87.20,11.60,1441,1256,167,30.71101099,-82.89687287,246,2,0.08,4011,2012,1999,26.7,65,2.7,1.9,0,0,2598,34315,20589,28.2,19.7,13,23.4,27.9,16,5.1,0,5.5,235.73,15.70,220.02
66,Effingham,GA,0.58,76.40,20.70,23395,17865,4851, 0.63 ,73.90,24.40,31624,23357,7720,32.36616021,-81.34280942,1863,29,1.11,57087,28260,28827,3.9,79.3,13.2,0.1,1,0.1,40780,64279,26765,9.6,32.1,13.7,21,14.6,18.6,3.4,0.1,5,5173.27,344.65,4828.61
67,Elbert,GA,0.20,66.60,31.70,7912,5269,2507, 0.18 ,67.90,31.40,9171,6226,2879,34.11302332,-82.83936148,769,10,0.38,19288,9218,10070,5.5,63.5,30.5,0,0.1,0,14697,35207,21138,22.4,25.8,14.8,20.8,10,28.5,8.4,0.2,7.7,1500.25,99.95,1400.30
68,Emanuel,GA,0.19,68.00,31.00,7838,5330,2433, 0.19 ,69.00,30.40,9501,6551,2884,32.59221302,-82.30239915,1216,39,1.49,22502,11183,11319,4.5,59.4,34,0,0,0,16600,33089,17944,29.2,25.7,20.5,20.5,13.2,20.2,6.7,0.4,10.3,1554.24,103.55,1450.69
69,Evans,GA,0.09,66.70,31.40,3602,2404,1130, 0.09 ,68.00,31.20,4247,2888,1324,32.15328841,-81.8870105,489,7,0.27,10757,5093,5664,11.8,56.5,30.2,0,0.8,0,7603,38736,20736,26,29.3,15.5,22.9,13.5,18.9,8.7,0,6.6,694.75,46.29,648.47
70,Fannin,GA,0.29,81.80,16.30,11764,9622,1920, 0.30 ,81.90,17.30,14850,12169,2571,34.86430205,-84.316964,841,27,1.03,24480,11852,12628,2.2,95.3,0.2,0.1,0.6,0.1,20090,43344,24845,15.8,29.6,20.6,23.5,13.7,12.5,12.1,0.2,8.3,2429.26,161.84,2267.42
71,Fayette,GA,1.50,58.00,38.50,60387,35034,23255, 1.39 ,52.50,46.10,69238,36372,31933,33.41357794,-84.49089434,2193,57,2.18,110306,53551,56755,7.1,64.1,21.1,0.3,4.4,0.1,79748,84861,39936,6.3,44.8,12.5,23.6,7.3,11.9,5.7,0.1,5.5,11326.42,754.59,10571.83
72,Floyd,GA,0.85,70.20,26.60,34250,24045,9127, 0.77 ,70.30,28.40,38588,27120,10972,34.26268279,-85.21577392,4114,61,2.33,96471,46770,49701,10.6,71.4,14.4,0.1,1.5,0,69367,46096,23929,18.1,29,20.3,22,10.4,18.3,4.5,0.1,7.5,6312.49,420.55,5891.94
73,Forsyth,GA,2.42,71.70,24.10,97314,69801,23427, 2.59 ,65.80,32.60,129305,85122,42203,34.22604035,-84.1231513,4906,54,2.06,211300,104886,106414,9.5,74.9,2.9,0.2,10.5,0,133643,96445,39896,6.5,51.1,11.3,24.8,6.1,6.7,5.9,0.1,4.2,21152.59,1409.23,19743.36
74,Franklin,GA,0.21,83.20,14.70,8474,7054,1243, 0.22 ,84.10,14.80,10786,9069,1593,34.37525597,-83.23159927,962,18,0.69,22328,10852,11476,4.4,83.9,9.8,0.1,0.7,0,16865,39246,19663,25.4,29.8,15.6,18.3,14.4,21.9,7.5,0.2,6.3,1764.45,117.55,1646.90
75,Fulton,GA,10.10,27.10,69.20,407173,110372,281875, 10.51 ,26.20,72.60,524532,137200,381057,33.79216944,-84.46319413,31753,628,23.97,1010420,489797,520623,7.4,39.9,43.6,0.2,6.7,0,710189,61336,41041,16,50.1,14.6,24,3.9,7.4,5.3,0.1,7.7,85806.51,5716.62,80089.89
76,Gilmer,GA,0.32,82.30,15.40,12713,10465,1955, 0.33 ,81.30,17.70,16525,13429,2932,34.69316688,-84.45802506,1065,23,0.88,29614,14950,14664,11.5,85.5,0.6,0.1,0.5,0,22105,46211,23688,18.8,26.1,22.5,21.3,14.6,15.5,9.8,0.3,7.4,2703.27,180.10,2523.17
77,Glascock,GA,0.03,88.80,9.90,1390,1235,138, 0.03 ,89.60,9.90,1566,1403,155,33.22879932,-82.61297636,52,2,0.08,3027,1464,1563,1.6,87.4,8.8,0.8,0,0,2321,45273,19815,11.5,32.4,10.9,17.7,14.1,24.9,4.9,0,3.3,256.18,17.07,239.11
78,Glynn,GA,0.84,63.10,34.50,34041,21482,11738, 0.84 ,61.00,37.80,41984,25616,15879,31.23279254,-81.53811412,3792,104,3.97,83467,39362,44105,6.7,63.8,25.7,0.4,1.3,0,62005,47546,29209,19.2,33.3,23.1,23,9,11.6,5.5,0.2,6.7,6868.03,457.56,6410.46
79,Gordon,GA,0.47,80.50,16.80,18850,15171,3176, 0.48 ,80.70,18.20,24033,19405,4384,34.50487351,-84.87296253,2455,47,1.79,56424,27913,28511,15.4,78,3.9,0,1.1,0,38832,43452,21208,18.8,23.2,14.6,22.4,12.5,27.3,4.5,0.2,5.7,3931.48,261.92,3669.56
80,Grady,GA,0.23,65.80,32.70,9187,6047,3005, 0.21 ,65.70,33.80,10707,7034,3619,30.87454847,-84.23418364,871,25,0.95,25048,12247,12801,11.1,58.3,28.2,0.5,0.5,0.3,17537,39462,20864,25.4,28,13.3,24.3,16.8,17.7,8.3,1.4,8,1751.52,116.69,1634.83
81,Greene,GA,0.22,62.10,36.20,8831,5488,3194, 0.23 ,62.80,36.30,11247,7068,4088,33.5769205,-83.17139104,584,25,0.95,16732,8142,8590,6.1,56.4,35.8,0.1,1,0,12969,45069,32890,21.9,27.7,24.3,25.6,7.8,14.6,6.4,0.2,6.5,1839.86,122.58,1717.29
82,Gwinnett,GA,8.04,45.20,51.00,323931,146463,165063, 8.29 ,40.20,58.40,413865,166413,241827,33.96044201,-84.02137802,31218,450,17.18,889954,435401,454553,20.7,39.3,25.9,0.2,11.2,0,530671,64496,27945,12.1,37.3,16.1,26.3,10.1,10.2,6.2,0.3,5.8,67702.85,4510.52,63192.33
83,Habersham,GA,0.40,81.70,15.40,16128,13184,2483, 0.41 ,81.40,17.40,20432,16637,3563,34.63331566,-83.53094677,1909,78,2.98,43878,20824,23054,14.2,77.3,3.1,0.1,2.3,0.2,31448,44474,20656,17.2,27.3,16.4,22.9,12.4,21,6.9,0.2,5.5,3342.41,222.68,3119.73
84,Hall,GA,1.74,73.70,23.00,70133,51681,16153, 1.81 ,70.90,27.70,90523,64170,25031,34.32207823,-83.81896936,10845,179,6.83,192865,96103,96762,27.8,61.6,7.3,0.2,1.7,0,119990,55622,26283,16.1,28.5,14.4,24.1,10.9,22.1,5.2,0.1,4.6,14808.37,986.57,13821.80
85,Hancock,GA,0.09,23.50,75.40,3572,841,2695, 0.08 ,27.80,71.70,4165,1159,2985,33.2721566,-82.99766919,419,44,1.68,8667,5258,3409,1.8,24.1,72.9,0,0.5,0.1,7276,29268,15454,30,25.8,33,19.6,6.3,15.3,6.4,0,4,681.34,45.39,635.95
86,Haralson,GA,0.28,84.60,13.00,11317,9579,1474, 0.29 ,86.40,12.60,14272,12331,1792,33.79602175,-85.21005667,673,11,0.42,28722,13965,14757,1.5,91.2,4.3,0.2,0.8,0,21640,43663,23141,18,27.2,16.8,21.2,16.1,18.7,6.7,0.1,7.2,2334.71,155.54,2179.17
87,Harris,GA,0.41,72.80,24.90,16392,11931,4082, 0.40 ,71.60,27.30,19991,14319,5457,32.73709786,-84.90538572,857,25,0.95,33198,16686,16512,3.3,77.1,15.9,0.1,0.9,0,25597,69539,32373,7.3,36.8,13.8,25.2,10.2,14,6.6,0.1,8.5,3270.26,217.87,3052.39
88,Hart,GA,0.25,72.30,25.60,10077,7285,2583, 0.25 ,74.40,24.80,12727,9464,3157,34.34626973,-82.96567682,601,17,0.65,25535,12502,13033,3.7,75.1,19,0,0.9,0,19724,41216,21668,18.8,26.8,15.8,23.2,12.4,21.8,7,0.5,4.7,2081.97,138.71,1943.26
89,Heard,GA,0.10,80.10,17.70,4206,3370,743, 0.11 ,83.70,15.30,5397,4516,824,33.29686567,-85.12886832,241,6,0.23,11607,5762,5845,0.7,85,10,0,0.5,0.1,8875,44897,20946,17.4,23.6,17.8,17.7,17.9,23,9.5,0.3,9.6,882.88,58.82,824.06
90,Henry,GA,2.43,46.60,50.90,98037,45641,49902, 2.46 ,39.30,59.70,122742,48187,73276,33.4533428,-84.1481466,6395,114,4.35,217506,104175,113331,6.5,46.7,40.7,0.1,3.3,0,153050,64752,26924,11.4,33.5,15.8,26.9,9,14.7,4.5,0.1,7.7,20078.97,1337.71,18741.26
91,Houston,GA,1.48,59.40,37.70,59559,35351,22460, 1.50 ,55.50,43.10,74823,41534,32232,32.45802497,-83.66879087,3740,95,3.63,150341,73081,77260,6.6,57.5,29.7,0.3,3,0,107551,55965,26305,16.7,35.2,18,23.9,11.4,11.5,3.9,0.1,7.8,12240.05,815.46,11424.59
92,Irwin,GA,0.09,74.10,24.30,3659,2711,890, 0.08 ,75.20,24.20,4168,3134,1008,31.60213036,-83.27501387,361,8,0.31,9278,4767,4511,1.3,67.6,28,0,0.5,0,7227,34677,19429,24.5,32.4,16.6,18.1,10.4,22.6,6.2,0.1,7.4,681.83,45.43,636.40
93,Jackson,GA,0.67,80.40,16.50,27057,21754,4469, 0.75 ,78.30,20.30,37670,29497,7642,34.13794553,-83.56814788,2473,42,1.60,63851,31539,32312,7.1,82.4,6.7,0.1,1.7,0,45830,57999,25598,12.5,32.3,15.8,25.1,10,16.8,6.8,0.5,6.5,6162.31,410.55,5751.77
94,Jasper,GA,0.15,72.40,25.70,6016,4353,1544, 0.15 ,76.20,23.00,7644,5822,1761,33.31535543,-83.68844964,249,4,0.15,13732,6688,7044,3.9,73.6,20.8,0.2,0.3,0,10198,42067,19784,19.4,24.3,14,18.9,20.5,22.4,8,0.1,7.2,1250.46,83.31,1167.15
95,Jeff Davis,GA,0.13,80.60,17.70,5089,4102,901, 0.12 ,81.40,17.80,5771,4695,1028,31.80405727,-82.6372487,811,23,0.88,14999,7403,7596,11.4,71.6,16.6,0,0,0,10510,37267,18550,20.6,26.4,15,23.6,17.3,17.6,4.3,0,5,944.06,62.90,881.16
96,Jefferson,GA,0.17,44.10,54.90,6934,3057,3809, 0.15 ,46.30,53.10,7642,3537,4061,33.05867328,-82.41609057,857,33,1.26,15954,7691,8263,3.7,41.7,54,0.1,0.1,0,11916,29640,17485,26.9,22.4,16.9,19.6,13,28.2,6,0,8.5,1250.13,83.29,1166.84
